NCTId;LeadSponsorName;LeadSponsorClass;CollaboratorName;CollaboratorClass;Condition;StudyType;OverallOfficialName;OverallOfficialAffiliation;OverallOfficialRole;ResponsiblePartyType;ResponsiblePartyInvestigatorFullName;ResponsiblePartyInvestigatorAffiliation;ResponsiblePartyInvestigatorTitle
NCT02536339;Genentech, Inc.;INDUSTRY;;;['Metastatic Breast Cancer'];Interventional;Clinical Trials;Hoffmann-La Roche;Study Director;Sponsor;;;
NCT02536625;Centre Leon Berard;OTHER;['Ligue contre le cancer, France'];['OTHER'];['Breast Cancer'];Observational;TREDAN Olivier, MD;Centre Leon Berard;Principal Investigator;Sponsor;;;
NCT02536742;ETOP IBCSG Partners Foundation;NETWORK;['Breast International Group'];['OTHER'];['Metastatic Breast Cancer'];Interventional;Luca Malorni, MD PhD;USL4 Hospital of Prato, Italy;Study Chair;Sponsor;;;
NCT02536794;Northwestern University;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Estrogen Receptor Negative', 'Estrogen Receptor Positive', 'HER2/Neu Negative', 'Recurrent Breast Carcinoma', 'Stage IV Breast Cancer'];Interventional;Cesar Santa-Maria, MD;Northwestern University;Principal Investigator;Sponsor;;;
NCT02538432;University of Maryland, Baltimore;OTHER;;;['Prostate Cancer', 'Non-Small Cell Lung Cancer', 'Breast Cancer'];Interventional;Martin Edelman, M.D., FACP;University of Maryland Greenebaum Cancer Center;Principal Investigator;Sponsor;;;
NCT02538471;Weill Medical College of Cornell University;OTHER;['University of California, Los Angeles'];['OTHER'];['Metastatic Breast Cancer'];Interventional;Silvia Formenti, M.D;Weill Medical College of Cornell University;Principal Investigator;Sponsor;;;
NCT02538484;The University of Texas Health Science Center at San Antonio;OTHER;;;['Breast Cancer'];Interventional;Andrew Brenner, MD, PhD;Principal Investigator;Principal Investigator;Sponsor;;;
NCT02539615;Atossa Therapeutics, Inc.;INDUSTRY;;;['Breast Cancer, Preneoplastic Conditions, BRCA'];Interventional;Jelle Kylstra;Atossa Therapeutics, Inc.;Study Director;Sponsor;;;
NCT02541188;University Hospital, Montpellier;OTHER;;;['Breast Cancer'];Observational;Pascal PUJOL, MDPhD;Oncogenetic Unit -CHU de Montpellier;Principal Investigator;Sponsor;;;
NCT02544243;Shandong Cancer Hospital and Institute;OTHER;;;['Metastatic Breast Cancer'];Interventional;Zhiyong Yu, PhD;Shandong Cancer Hospital and Institute;Study Chair;Principal Investigator;Zhiyong Yu;Shandong Cancer Hospital and Institute;Director of the Breast Surgery Ⅰ
NCT02544243;Shandong Cancer Hospital and Institute;OTHER;;;['Metastatic Breast Cancer'];Interventional;Xinzhao Wang, MD;Shandong Cancer Hospital and Institute;Principal Investigator;Principal Investigator;Zhiyong Yu;Shandong Cancer Hospital and Institute;Director of the Breast Surgery Ⅰ
NCT02544945;Rob Rutledge;OTHER;['Nova Scotia Health Authority'];['OTHER'];['Breast Cancer'];Interventional;Robert DH Rutledge, MD;Capital Health, Canada;Principal Investigator;Sponsor-Investigator;Rob Rutledge;Nova Scotia Health Authority;Staff Radiation Oncologist
NCT02546232;Oslo University Hospital;OTHER;;;['Breast Cancer'];Interventional;Olav Engebraaten, MD, PhD;Department of Oncology, Oslo University Hospital;Principal Investigator;Principal Investigator;Olav Engebraaten;Oslo University Hospital;Consultant oncologist / Associate professor
NCT02546934;Fudan University;OTHER;;;['Breast Cancer'];Interventional;Xichun Hu, MD, PhD;Fudan University;Principal Investigator;Principal Investigator;Xichun Hu;Fudan University;Dr
NCT02547961;Fuda Cancer Hospital, Guangzhou;OTHER;;;['Breast Cancer'];Interventional;Lizhi Niu, PhD;Fuda Cancer Hospital;Study Chair;Sponsor;;;
NCT02547987;Mothaffar Rimawi;OTHER;;;['Breast Cancer'];Interventional;Mothaffar Rimawi, MD;Baylor College of Medicine;Principal Investigator;Sponsor-Investigator;Mothaffar Rimawi;Baylor Breast Care Center;Associate Professor
NCT02548637;Saint John's Cancer Institute;OTHER;;;['Breast Cancer'];Interventional;Rebecca Crane-Okada, MD;Saint John's Cancer Institute;Principal Investigator;Sponsor;;;
NCT02549430;Fondazione Sandro Pitigliani;OTHER;;;['Breast Cancer'];Interventional;LUCA MALORNI, MD;Azienda USL 4 Prato;Principal Investigator;Sponsor;;;
NCT02551263;Translational Research Center for Medical Innovation, Kobe, Hyogo, Japan;OTHER;['Kyoto Breast Cancer Research Network'];['OTHER'];['Breast Cancer'];Observational;Yuichiro Kikawa, MD;Kobe City Medical Center General Hospital;Principal Investigator;Sponsor;;;
NCT02551263;Translational Research Center for Medical Innovation, Kobe, Hyogo, Japan;OTHER;['Kyoto Breast Cancer Research Network'];['OTHER'];['Breast Cancer'];Observational;Takeshi Kotake, MD;Kyoto University;Principal Investigator;Sponsor;;;
NCT02553850;Hoffmann-La Roche;INDUSTRY;;;['Breast Cancer'];Observational;Clinical Trials;Hoffmann-La Roche;Study Director;Sponsor;;;
NCT02553967;Centre Oscar Lambret;OTHER;['University Hospital, Lille'];['OTHER'];['Breast Cancer'];Interventional;Claudia REGIS, MD;Centre Oscar Lambret;Principal Investigator;Sponsor;;;
NCT02555657;Merck Sharp & Dohme LLC;INDUSTRY;;;['Metastatic Triple Negative Breast Cancer'];Interventional;Medical Director;Merck Sharp & Dohme LLC;Study Director;Sponsor;;;
NCT02555696;Celgene;INDUSTRY;;;['Metastatic Breast Cancer'];Observational;Guenter Voraberger;Celgene;Study Chair;Sponsor;;;
NCT02556632;Gary Morrow;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Carcinoma', 'Pain', 'Radiation-Induced Dermatitis', 'Stage 0 Breast Cancer'];Interventional;Gary Morrow;University of Rochester NCORP Research Base;Principal Investigator;Sponsor-Investigator;Gary Morrow;University of Rochester NCORP Research Base;Director
NCT02556684;Zhejiang University;OTHER;;;['Breast Cancer'];Observational;Jian Huang, Dr;Second Affiliated Hospital of Zhejiang University School of Medicine;Study Chair;Principal Investigator;Zhigang Zhang;Zhejiang University;Dr
NCT02557776;Lund University;OTHER;;;['Hereditary Breast Cancer'];Interventional;Niklas Loman, MD, PhD;Head of Section for Breast Cancer, Melanoma and CNS tumors. Dept of Oncology, Skane University Hospital, Lund, Sweden;Principal Investigator;Sponsor;;;
NCT02559362;Abramson Cancer Center of the University of Pennsylvania;OTHER;;;['Breast Cancer'];Observational;Kathryn Schmitz, PhD;Abramson Cancer Center of the University of Pennsylvania;Principal Investigator;Sponsor;;;
NCT02560311;University of Zurich;OTHER;;;['ERBB2', 'Breast Cancer', 'Metastatic Neoplasm'];Observational;Konstantin J Dedes, Dr.med.;UniversitätsSpital Zürich, Klinik für Gynäkologie;Principal Investigator;Sponsor;;;
NCT02560311;University of Zurich;OTHER;;;['ERBB2', 'Breast Cancer', 'Metastatic Neoplasm'];Observational;Bernhard Pestalozzi, Prof.Dr.med.;UniversitätsSpital Zürich, Klinik für Onkologie;Principal Investigator;Sponsor;;;
NCT02560662;Sahlgrenska University Hospital, Sweden;OTHER;['Scandinavian Surgical Outcomes Research Group'];['UNKNOWN'];['Breast Cancer'];Interventional;Roger Olofsson Bagge, MD, PhD;Sahlgrenska University Hospital, Sweden;Principal Investigator;Principal Investigator;Roger Olofsson Bagge, MD, PhD;Sahlgrenska University Hospital, Sweden;MD, PhD
NCT02560818;Centre Francois Baclesse;OTHER;;;['Breast Cancer', 'Transcriptomes', 'Molecular Diagnostic', 'Ovarian Cancer'];Interventional;Sophie KRIEGER, MD;Centre François Baclesse;Principal Investigator;Sponsor;;;
NCT02561832;AstraZeneca;INDUSTRY;;;['Breast Cancer'];Interventional;Judith Balmana;Hospital Vall d'Hebron, Barcelona, Spain;Principal Investigator;Sponsor;;;
NCT02561832;AstraZeneca;INDUSTRY;;;['Breast Cancer'];Interventional;Tiffany Traina;Memorial Sloan Kettering Cancer Center, New York, USA;Principal Investigator;Sponsor;;;
NCT02562118;National University Hospital, Singapore;OTHER;['Eisai Co., Ltd.'];['INDUSTRY'];['Breast Cancer'];Interventional;Soo Chin Lee;National University Hospital, Singapore;Principal Investigator;Sponsor;;;
NCT02562170;Medical University of Vienna;OTHER;;;['Breast Cancer', 'Hereditary Breast and Ovarian Cancer Syndrome'];Interventional;Daphne Gschwantler-Kaulich, Ass.Prof.Dr.;Medical University Vienna;Principal Investigator;Principal Investigator;Daphne Gschwantler-Kaulich;Medical University of Vienna;Ass.Prof.Dr.
NCT02562378;MedSIR;OTHER;['Experior'];['INDUSTRY'];['Breast Cancer'];Interventional;Javier Cortés, MD;Hospital Ramon y Cajal, Madrid, Spain;Study Director;Sponsor;;;
NCT02563925;Memorial Sloan Kettering Cancer Center;OTHER;['MedImmune LLC'];['INDUSTRY'];['Metastatic Breast Cancer'];Interventional;Shanu Modi, MD;Memorial Sloan Kettering Cancer Center;Principal Investigator;Sponsor;;;
NCT02564848;Cedars-Sinai Medical Center;OTHER;;;['Breast Cancer'];Interventional;Alice Chung, MD;Cedars-Sinal Medical Center;Principal Investigator;Principal Investigator;Alice Chung;Cedars-Sinai Medical Center;Assistant Professor of Surgery
NCT02565017;Memorial Sloan Kettering Cancer Center;OTHER;;;['Breast Cancer', 'Lung Cancer', 'Colorectal Cancer'];Observational;Jada Hamilton, PhD, MPH;Memorial Sloan Kettering Cancer Center;Principal Investigator;Sponsor;;;
NCT02566109;Wake Forest University Health Sciences;OTHER;;;['Breast Cancer'];Interventional;Gregory Hundley, MD;Wake Forest University Health Sciences;Principal Investigator;Sponsor;;;
NCT02566408;Case Comprehensive Cancer Center;OTHER;['National Institute on Minority Health and Health Disparities (NIMHD)'];['NIH'];['Cancer Survivor', 'Stage IA Breast Cancer', 'Stage IB Breast Cancer', 'Stage IIA Breast Cancer', 'Stage IIB Breast Cancer', 'Stage IIIA Breast Cancer', 'Stage IIIB Breast Cancer', 'Stage IIIC Breast Cancer'];Interventional;Cynthia Owusu;Case Comprehensive Cancer Center;Principal Investigator;Sponsor;;;
NCT02567669;Essentia Health;OTHER;;;['Breast Cancer', 'Fatigue', 'Sarcopenia'];Observational;Ken Dornfeld, MD PhD;Essentia Health;Principal Investigator;Sponsor;;;
NCT02567929;Konkuk University Medical Center;OTHER;;;['Breast Cancer'];Interventional;Seong-Hyop Kim, M.D,Ph.D;Konkuk University Medical Center;Principal Investigator;Principal Investigator;Seong-Hyop Kim;Konkuk University Medical Center;Associate Professor
NCT02568267;Hoffmann-La Roche;INDUSTRY;;;['Breast Cancer', 'Cholangiocarcinoma', 'Colorectal Cancer', 'Head and Neck Neoplasms', 'Lymphoma, Large-Cell, Anaplastic', 'Melanoma', 'Neuroendocrine Tumors', 'Non-Small Cell Lung Cancer', 'Ovarian Cancer', 'Pancreatic Cancer', 'Papillary Thyroid Cancer', 'Primary Brain Tumors', 'Renal Cell Carcinoma', 'Sarcomas', 'Salivary Gland Cancers', 'Adult Solid Tumor'];Interventional;Clinical Trials;Hoffmann-La Roche;Study Director;Sponsor;;;
NCT02568839;Thomas Hatschek;OTHER;;;['Early-Stage Breast Carcinoma', 'HER-2 Positive Breast Cancer'];Interventional;Thomas Hatschek, Assoc prof;Breast-sarcoma unit, Dept. of Oncology, Karolinska university hospital;Study Chair;Sponsor-Investigator;Thomas Hatschek;Karolinska University Hospital;Sen. Consultant, MD, PhD, Assoc. professor
NCT02568839;Thomas Hatschek;OTHER;;;['Early-Stage Breast Carcinoma', 'HER-2 Positive Breast Cancer'];Interventional;Jonas Bergh, Professor;Dept. of Oncology-Pathology, Karolinska Institutet;Study Director;Sponsor-Investigator;Thomas Hatschek;Karolinska University Hospital;Sen. Consultant, MD, PhD, Assoc. professor
NCT02569294;University of Liege;OTHER;;;['Breast Cancer'];Interventional;Guy Jerusalem, Prof.;University of Liege;Study Director;Principal Investigator;Isabelle Bragard;University of Liege;Ph.D.
NCT02569801;Genentech, Inc.;INDUSTRY;;;['Breast Cancer'];Interventional;Clinical Trials;Hoffmann-La Roche;Study Director;Sponsor;;;
NCT02570100;Centre Oscar Lambret;OTHER;['Institut pour la Recherche sur le Cancer de Lille'];['OTHER'];['Breast Cancer'];Interventional;Géraldine LAURIDANT, MD;Centre Oscar Lambret;Principal Investigator;Sponsor;;;
NCT02571894;Karolinska University Hospital;OTHER;;;['Cardiotoxicity', 'Cardiomyopathies', 'Breast Cancer'];Interventional;Elham Hedayati, MD, PhD;Karolinska University Hospital;Principal Investigator;Principal Investigator;Elham Hedayati;Karolinska University Hospital;M.D., Ph.D. Senior Consultant
NCT02571894;Karolinska University Hospital;OTHER;;;['Cardiotoxicity', 'Cardiomyopathies', 'Breast Cancer'];Interventional;Laila Hubbert, MD, PhD;University Hospital, Linkoeping;Principal Investigator;Principal Investigator;Elham Hedayati;Karolinska University Hospital;M.D., Ph.D. Senior Consultant
NCT02574455;Gilead Sciences;INDUSTRY;;;['Breast Cancer'];Interventional;Gilead Study Director;Gilead Sciences;Study Director;Sponsor;;;
NCT02574507;Duke University;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Caroline S Dorfman, PhD;Duke University;Principal Investigator;Sponsor;;;
NCT02574546;Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins;OTHER;['United States Department of Defense'];['FED'];['Breast Cancer'];Observational;Saraswati Sukumar, Ph.D.;SKCCC at Johns Hopkins;Study Chair;Sponsor;;;
NCT02576665;Tocagen Inc.;INDUSTRY;;;['Colorectal Cancer', 'Triple Negative Breast Cancer', 'Pancreatic Cancer', 'Non-Small Cell Lung Cancer', 'Head and Neck Cancer', 'Ovarian Cancer', 'Lymphoma', 'Sarcoma', 'Bladder Cancer', 'Melanoma', 'IDH1 Mutated Solid Tumors', 'IDH1 Mutated or MGMT Methylated Recurrent HGG (Not Recruiting)'];Interventional;Jaime R Merchan, MD;University of Miami;Principal Investigator;Sponsor;;;
NCT02577627;Optimata Ltd.;INDUSTRY;;;['Non-Small Cell Lung Cancer', 'Small Cell Lung Cancer', 'Prostate Cancer', 'Breast Cancer', 'Colon Cancer'];Observational;Marina Kleiman, PhD;Optimata Ltd.;Study Director;Sponsor;;;
NCT02577627;Optimata Ltd.;INDUSTRY;;;['Non-Small Cell Lung Cancer', 'Small Cell Lung Cancer', 'Prostate Cancer', 'Breast Cancer', 'Colon Cancer'];Observational;Irina Lazarov, MD;Soroka University Medical Center;Principal Investigator;Sponsor;;;
NCT02577627;Optimata Ltd.;INDUSTRY;;;['Non-Small Cell Lung Cancer', 'Small Cell Lung Cancer', 'Prostate Cancer', 'Breast Cancer', 'Colon Cancer'];Observational;Maya Gottfried, MD;Meir Medical Center, Kfar Saba, Israel;Principal Investigator;Sponsor;;;
NCT02577627;Optimata Ltd.;INDUSTRY;;;['Non-Small Cell Lung Cancer', 'Small Cell Lung Cancer', 'Prostate Cancer', 'Breast Cancer', 'Colon Cancer'];Observational;Noa Efrat (Ben-Baruch), MD;Kaplan Medical Center, Rehovot, Israel;Principal Investigator;Sponsor;;;
NCT02577627;Optimata Ltd.;INDUSTRY;;;['Non-Small Cell Lung Cancer', 'Small Cell Lung Cancer', 'Prostate Cancer', 'Breast Cancer', 'Colon Cancer'];Observational;Mor Moskovitz, MD;Rambam Medical Center, Haifa, Israel;Principal Investigator;Sponsor;;;
NCT02577627;Optimata Ltd.;INDUSTRY;;;['Non-Small Cell Lung Cancer', 'Small Cell Lung Cancer', 'Prostate Cancer', 'Breast Cancer', 'Colon Cancer'];Observational;Avishay Sela, MD;Assaf Harofeh Medical Center, Zrifin, Israel;Principal Investigator;Sponsor;;;
NCT02577627;Optimata Ltd.;INDUSTRY;;;['Non-Small Cell Lung Cancer', 'Small Cell Lung Cancer', 'Prostate Cancer', 'Breast Cancer', 'Colon Cancer'];Observational;Ronen Brenner, MD;Wolfson Medical Center;Principal Investigator;Sponsor;;;
NCT02577627;Optimata Ltd.;INDUSTRY;;;['Non-Small Cell Lung Cancer', 'Small Cell Lung Cancer', 'Prostate Cancer', 'Breast Cancer', 'Colon Cancer'];Observational;Hovav Nehushtan, MD;Hadassah Medical Center, Jerusalem;Principal Investigator;Sponsor;;;
NCT02580396;Royal Marsden NHS Foundation Trust;OTHER;;;['Metastatic Breast Cancer'];Interventional;Jillian Noble;Royal Marsden NHS Foundation Trust;Principal Investigator;Sponsor;;;
NCT02580448;Innocrin Pharmaceutical;INDUSTRY;;;['Cancer of the Breast', 'Breast Cancer', 'Advanced Breast Cancer', 'Metastatic Breast Cancer', 'Male Breast Cancer', 'Triple Negative Breast Cancer', 'ER+ Breast Cancer'];Interventional;Victoria Brown, BS;Sponsor GmbH;Study Chair;Sponsor;;;
NCT02580799;Hoffmann-La Roche;INDUSTRY;;;['Breast Cancer'];Observational;Clinical Trials;Hoffmann-La Roche;Study Director;Sponsor;;;
NCT02581670;Istituto Clinico Humanitas;OTHER;;;['Breast Cancer', 'Metastasis to Liver', 'Metastasis to Lung'];Interventional;Fiorenza De Rose, MD;Istituto Clinico Humanitas;Principal Investigator;Principal Investigator;Michele Tedeschi;Istituto Clinico Humanitas;MD
NCT02581670;Istituto Clinico Humanitas;OTHER;;;['Breast Cancer', 'Metastasis to Liver', 'Metastasis to Lung'];Interventional;Tiziana Comito, MD;Istituto Clinico Humanitas;Principal Investigator;Principal Investigator;Michele Tedeschi;Istituto Clinico Humanitas;MD
NCT02581839;Case Comprehensive Cancer Center;OTHER;;;['Metastatic Breast Cancer', 'Brain Metastases'];Interventional;Paula Silverman, MD;University Hospitals Cleveland Medical Center, Seidman Cancer Center, Case Comprehensive Cancer Center;Principal Investigator;Sponsor;;;
NCT02582801;Jiang Wu;OTHER;;;['Breast Cancer'];Interventional;Guangming Lu, Professor;Jinling Hospital, China;Study Chair;Sponsor-Investigator;Jiang Wu;Jinling Hospital, China;Medical doctor
NCT02583204;NHS Greater Glasgow and Clyde;OTHER;;;['Breast Cancer', 'Nail Toxicity'];Interventional;Audrey Morrison, Phd;NHS Greater Glasgow and Clyde;Principal Investigator;Sponsor;;;
NCT02583542;Queen Mary University of London;OTHER;['AstraZeneca'];['INDUSTRY'];['Triple-Negative Breast Cancer', 'Squamous Cell Lung Cancer', 'Non-squamous Cell Lung Cancer With KRAS Mutations', 'Non-squamous Cell Lung Cancer With Wild-type KRAS'];Interventional;Peter Schmid, Professor;Queen Mary University;Study Director;Sponsor;;;
NCT02583568;University Medical Center Groningen;OTHER;['Martini Hospital Groningen'];['OTHER'];['Breast Cancer'];Interventional;G.M van Dam, prof. dr.;UMCG;Principal Investigator;Principal Investigator;G.M. van Dam;University Medical Center Groningen;prof.dr.
NCT02583815;University of Texas Southwestern Medical Center;OTHER;;;['Gastrointestinal Cancer', 'Breast Cancer', 'Gynecologic Cancer', 'Genitourinary Cancer', 'Leukemia', 'Lung Cancer', 'Skin Cancer', 'Endocrine Cancer', 'Male Genital Cancer'];Observational;Muhammad Beg, MD;UT Southwestern Medical Center;Principal Investigator;Sponsor;;;
NCT02585362;Kantonsspital Winterthur KSW;OTHER;;;['Lung Cancer', 'Gastro-Intestinal Cancer', 'Breast Cancer', 'Prostate Cancer', 'Pleural Mesothelioma', 'Urothelial Carcinoma', 'Renal Cell Carcinoma', 'Ovarian Cancer'];Interventional;Miklos Pless, Prof.;Kantonsspital Winterthur KSW;Principal Investigator;Sponsor;;;
NCT02585388;ARCAGY/ GINECO GROUP;OTHER;['Pierre Fabre Laboratories'];['INDUSTRY'];['Breast Cancer'];Interventional;Pierre-Etienne HEUDEL, MD;Centre Leon Berard;Principal Investigator;Sponsor;;;
NCT02586025;Hoffmann-La Roche;INDUSTRY;;;['Breast Cancer'];Interventional;Clinical Trials;Hoffmann-La Roche;Study Director;Sponsor;;;
NCT02586675;H. Lee Moffitt Cancer Center and Research Institute;OTHER;['Novartis'];['INDUSTRY'];['Breast Cancer', 'Breast Cancer - Female', 'Breast Cancer - Male'];Interventional;Roohi Ismail-Khan, MD, MSc;H. Lee Moffitt Cancer Center and Research Institute;Principal Investigator;Sponsor;;;
NCT02586987;AstraZeneca;INDUSTRY;;;['Lung Cancer', 'Melanoma', 'Head and Neck Carcinoma', 'Gastroesophageal Cancer', 'Breast Cancer', 'Pancreatic Adenocarcinoma', 'Colorectal Cancer', 'Biliary Tract Cancer'];Interventional;Pasi A. Jänne, MD, PhD;Dana-Farber Cancer Institute;Principal Investigator;Sponsor;;;
NCT02587663;University of Southern California;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Ductal Breast Carcinoma In Situ', 'Stage IA Breast Cancer', 'Stage IB Breast Cancer', 'Stage II Breast Cancer'];Interventional;Linda Hovanessian-Larsen;University of Southern California;Principal Investigator;Sponsor;;;
NCT02590315;Centro di Riferimento per l'Epidemiologia e la Prev. Oncologica Piemonte;OTHER;['im3D S.p.A.'];['OTHER'];['Breast Cancer'];Interventional;Alfonso Frigerio, Dr;SCDO Epidemiologia dei Tumori, AOU Città della Salute e della Scienza di Torino;Principal Investigator;Sponsor;;;
NCT02590458;M.D. Anderson Cancer Center;OTHER;['GE Healthcare'];['INDUSTRY'];['Breast Cancer'];Interventional;Marion E. Scoggins, MD;M.D. Anderson Cancer Center;Principal Investigator;Sponsor;;;
NCT02591316;Texas State University, San Marcos;OTHER;;;['Breast Cancer', 'Cognitive Impairment', 'Cognition'];Observational;Krystle E Zuniga, PhD, RD;Texas State University, San Marcos;Principal Investigator;Principal Investigator;Krystle Zuniga;Texas State University, San Marcos;Assistant Professor
NCT02592070;University of Illinois at Urbana-Champaign;OTHER;;;['Breast Cancer', 'Mild Cognitive Impairment', 'Physical Activity'];Interventional;Edward McAuley, PhD;University of Illinois at Urbana-Champaign;Principal Investigator;Principal Investigator;Edward McAuley;University of Illinois at Urbana-Champaign;Shahid and Ann Carlson Khan Professor in Applied Health Sciences
NCT02593175;M.D. Anderson Cancer Center;OTHER;;;['Stage I Breast Cancer AJCC v7', 'Stage IA Breast Cancer AJCC v7', 'Stage IB Breast Cancer AJCC v7', 'Stage II Breast Cancer AJCC v6 and v7', 'Stage IIA Breast Cancer AJCC v6 and v7', 'Stage IIB Breast Cancer AJCC v6 and v7', 'Stage III Breast Cancer AJCC v7', 'Stage IIIA Breast Cancer AJCC v7', 'Stage IIIB Breast Cancer AJCC v7', 'Stage IIIC Breast Cancer AJCC v7', 'Triple-Negative Breast Carcinoma'];Interventional;Clinton Yam;M.D. Anderson Cancer Center;Principal Investigator;Sponsor;;;
NCT02593227;Marker Therapeutics, Inc.;INDUSTRY;;;['Breast Cancer'];Interventional;Richard Kenney, MD;Marker Therapeutics, Inc.;Study Director;Sponsor;;;
NCT02593435;Chinese Anti-Cancer Association;OTHER;;;['Breast Cancer'];Observational;Ze-Fei Jiang, Doctor;307 Hospital of PLA;Principal Investigator;Sponsor;;;
NCT02593890;Claire Kelly;INDUSTRY;['Irish Research Council'];['OTHER'];['Breast Cancer'];Interventional;Amanda McCann, PhD;University College Dublin;Study Director;Sponsor-Investigator;Claire Kelly;Theya;Claire Kelly
NCT02594371;Athenex, Inc.;INDUSTRY;;;['Metastatic Breast Cancer'];Interventional;David Cutler, MD;Kinex Pharmaceuticals Inc.;Study Director;Sponsor;;;
NCT02594696;Massachusetts General Hospital;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Major Depression', 'Schizophrenia', 'Bipolar Disorder', 'Lung Cancer', 'Breast Cancer', 'Head and Neck Cancer', 'GI Cancer', 'Cancer'];Interventional;Kelly Irwin, MD;Massachusetts General Hospital;Principal Investigator;Principal Investigator;Kelly Edwards Irwin;Massachusetts General Hospital;Instructor, Harvard Medical School
NCT02595138;Cancer Institute and Hospital, Chinese Academy of Medical Sciences;OTHER;['Beijing Municipal Science & Technology Commission'];['OTHER'];['Triple Negative Breast Cancer'];Interventional;Binghe Xu, MD;Cancer Institute and Hospital, Chinese Academy of Medical Sciences;Principal Investigator;Principal Investigator;Ying Fan;Cancer Institute and Hospital, Chinese Academy of Medical Sciences;Associate professor
NCT02595320;Qamar Khan;OTHER;;;['Breast Cancer', 'Gastrointestinal Cancer'];Interventional;Qamar Khan, MD;University of Kansas Cancer Center - CRC;Principal Investigator;Sponsor-Investigator;Qamar Khan;University of Kansas Medical Center;Principal Investigator
NCT02595762;Hoffmann-La Roche;INDUSTRY;;;['Metastatic Breast Cancer', 'Locally Advanced Breast Cancer'];Observational;Clinical Trials;Hoffmann-La Roche;Study Director;Sponsor;;;
NCT02595905;National Cancer Institute (NCI);NIH;;;['Metastatic BRCA-Associated Breast Carcinoma', 'Metastatic Breast Carcinoma', 'Metastatic Malignant Neoplasm in the Brain', 'Metastatic Triple-Negative Breast Carcinoma', 'Recurrent Breast Carcinoma', 'Stage IV Breast Cancer AJCC v6 and v7'];Interventional;Eve T Rodler;Southwest Oncology Group;Principal Investigator;Sponsor;;;
NCT02595957;National Human Genome Research Institute (NHGRI);NIH;;;['Colon Cancer', 'Breast Cancer'];Observational;Leslie G Biesecker, M.D.;National Human Genome Research Institute (NHGRI);Principal Investigator;Sponsor;;;
NCT02596373;CSPC ZhongQi Pharmaceutical Technology Co., Ltd.;INDUSTRY;;;['Advanced Recurrent or Metastatic Breast Cancer'];Interventional;Xichun Hu, Ph.D;Fudan University;Principal Investigator;Sponsor;;;
NCT02596724;Targeted Medical Education;OTHER;;;['Breast Cancer', 'Breast Neoplasms'];Observational;Pat Whitworth, M.D.;Nashville Breast Center;Principal Investigator;Sponsor;;;
NCT02596724;Targeted Medical Education;OTHER;;;['Breast Cancer', 'Breast Neoplasms'];Observational;Peter Beitsch, M.D.;Dallas Surgical Group;Principal Investigator;Sponsor;;;
NCT02596867;Texas Tech University Health Sciences Center, El Paso;OTHER;;;['Breast Cancer'];Interventional;Zeina Nahleh, MD;Texas Tech University Health Sciences Center, El Paso;Principal Investigator;Principal Investigator;Zeina Nahleh;Texas Tech University Health Sciences Center, El Paso;Professor
NCT02597452;University of Pennsylvania;OTHER;['UE LifeSciences Inc.'];['INDUSTRY'];['Breast Cancer'];Interventional;Ari D Brooks, MD;University of Pennsylvania;Principal Investigator;Sponsor;;;
NCT02597868;Zhejiang Cancer Hospital;OTHER;"[""Jiangsu Provincial People's Hospital""]";['OTHER'];['Breast Cancer'];Interventional;Xiaojia Wang, PHD;Zhejiang Cance Hospital;Principal Investigator;Sponsor;;;
NCT02598310;Osaka Medical College;OTHER;;;['Breast Cancer', 'Estrogen Receptor Negative Neoplasm', 'HER-2 Positive Breast Cancer'];Interventional;Mitsuhiko Iwamoto, MD, PhD;Osaka Medical College;Principal Investigator;Principal Investigator;Satoru Tanaka;Osaka Medical College;MD, PhD
NCT02598427;Kimberly Blackwell;OTHER;;;['HER2 Positive Untreated Metastatic Breast Cancer', 'Asymptomatic or Low Symptomatic Brain Metastasis in Breast Cancer'];Interventional;Kimberly Blackwell, MD;Duke University;Principal Investigator;Sponsor-Investigator;Kimberly Blackwell;Duke University;Professor of Medicine, Director of the Duke Breast Cancer Program
NCT02598557;National Cancer Institute (NCI);NIH;;;['Stage 0 Breast Cancer AJCC v6 and v7', 'Stage I Breast Cancer AJCC v7', 'Stage IA Breast Cancer AJCC v7', 'Stage IB Breast Cancer AJCC v7', 'Stage II Breast Cancer AJCC v6 and v7', 'Stage IIA Breast Cancer AJCC v6 and v7', 'Stage IIB Breast Cancer AJCC v6 and v7'];Interventional;Bernardo Bonanni;M.D. Anderson Cancer Center;Principal Investigator;Sponsor;;;
